,location account #,business name,dba name,street address,city,location description,mailing address,mailing city,mailing zip code,naics,primary naics description,council district,location start date,location end date,location,zip_code
652,0003206257-0001-3,TSY PIES LLC,PIEOLOGY PIZZERIA,9118 RESEDA BLVD,northridge,9118 Reseda 91324-3030,716 CORPORATE CENTER DRIVE,POMONA,91768-2652,722110,Full-service restaurants,12,08/06/2020,,"(34.2365, -118.536)",91324
653,0002911523-0004-7,KG PARTNERS INC,WABA GRILL,4821 LANKERSHIM BLVD UNIT #GH,north hollywood,4821 Lankershim 91601-4538,19360 RINALDI STREET SUITE #471,PORTER RANCH,91326-1607,722110,Full-service restaurants,2,06/01/2020,,"(34.158, -118.3711)",91601
654,0003208056-0001-7,LAZONA INC,,1913 E GAGE AVENUE,los angeles,1913 GAGE 90001,1913 E GAGE AVENUE,LOS ANGELES,90001-1817,722110,Full-service restaurants,0,08/06/2020,,"(33.9821, -118.2385)",90001
655,0002627965-0001-2,GREYLIGHT LLC,CINCO,7241 W MANCHESTER AVENUE,los angeles,7241 MANCHESTER 90045-3510,,,,722110,Full-service restaurants,11,09/29/2012,,"(33.9598, -118.4203)",90045
656,0002832134-0001-2,SES PIZZERIA INC,BIG MAMA'S & PAPA'S PIZZERIA,8323 RESEDA BLVD #101,northridge,8323 RESEDA 91324-5954,,,,722110,Full-service restaurants,12,06/01/2015,,"(34.2212, -118.536)",91324
657,0000845097-0001-9,"LAS CAZUELAS RESTAURANT & PUPUSERIA, INC.",LAS CAZUELAS,5705 N FIGUEROA STREET,los angeles,5705 FIGUEROA 90042-4201,,,,722110,Full-service restaurants,1,05/01/1992,,"(34.1096, -118.1926)",90042
658,0003324609-0001-1,JINPANEE   THANAMETHEENAN,KAOHORM KITCHEN,15053 Ventura #102,sherman oaks,15053 VENTURA 91403,,,,722110,Full-service restaurants,4,08/01/2022,,"(34.1533, 34.1533)",91403
659,0003312132-0001-8,TACE SERVICES CORP,TACE SERVICES,4340 42ND STREET,sunnyside,4340 42nd 11104-2894,341 N CRESCENT HEIGHTS BLVD,LOS ANGELES,90048-2203,722110,Full-service restaurants,0,05/01/2022,,"(40.7442, -73.9226)",11104
660,0002912227-0003-0,CHIK ENTERPRISES INC,POPEYES LOUISIANA KITCHEN,11011 VICTORY BLVD,north hollywood,11011 VICTORY 91606-3719,17522 SUPERIOR STREET,NORTHRIDGE,91325-1839,722110,Full-service restaurants,2,08/10/2020,,"(34.187, -118.3707)",91606
661,0000679399-0001-0,CCM CREATIONS INC,PURE ENERGY CAFE,2250 PARK PLACE,el segundo,2250 PARK 90245-4908,2250 PARK PLACE,EL SEGUNDO,90245-4908,722110,Full-service restaurants,0,05/15/2002,,"(33.9043, -118.3835)",90245
662,0000732788-0001-3,KHUNAKORN CORPORATION,SIAM CHAN RESTAURANT,1611 COLBY AVENUE,los angeles,1611 COLBY 90025-3013,,,,722110,Full-service restaurants,11,12/17/2002,,"(34.0449, -118.4527)",90025
663,0003325034-0001-7,NISHI RAMEN LLC,KAI RAMEN,3450 W 6TH STREET SUITE #105,los angeles,3450 6TH 90020-2566,,,,722110,Full-service restaurants,10,07/22/2022,,"(34.0632, -118.297)",90020
664,0003323257-0001-0,MEXLA FOOD LLC,HACIENDA MARIANA EXPRESS,109 E PICO BLVD,los angeles,109 PICO 90015-2505,,,,722110,Full-service restaurants,0,07/18/2022,,"(34.0363, -118.2601)",90015
665,0003321765-0001-1,AD DINERY INC,BORA,8729 Santa Monica,west hollywood,8729 SANTA MONICA 90069,,,,722110,Full-service restaurants,0,07/15/2022,,"(34.0871, 34.0871)",90069
666,0003263582-0001-2,WICHURADA TEERAROJJANARAT,THAI VEGAN III,17338 W SUNSET BLVD,pacific palisades,17338 SUNSET 90272,17338 W SUNSET BLVD,PACIFIC PALISADES,90272-4102,722110,Full-service restaurants,11,08/01/2021,,"(34.0406, -118.5534)",90272
667,0000902995-0001-1,MASTER BURGER INC,MASTER BURGER,4419 S WESTERN AVENUE,los angeles,4419 WESTERN 90062-1606,,,,722110,Full-service restaurants,8,10/06/1998,,"(34.0036, -118.3089)",90062
668,0000441624-0001-8,JOSE G CISNEROS,MAYA BARBER AND BEAUTY SALON,2306 E 1ST STREET,los angeles,2306 1ST 90033-4002,412 ULYSSES STREET,LOS ANGELES,90065-2433,722110,Full-service restaurants,14,03/29/2006,,"(34.0441, -118.2107)",90033
669,0002333826-0001-5,LEE FINANCIAL INVESTMENT LLC,ALOHA CAFE,410 E 2ND STREET,los angeles,410 2ND 90012-4209,,,,722110,Full-service restaurants,14,02/28/2008,,"(34.0476, -118.2392)",90012
670,0002587531-0001-3,SICHA SIAM RESTAURANT LLC,SICHA SIAM RESTAURANT,4403 EAGLE ROCK BLVD,los angeles,4403 EAGLE ROCK 90041-3212,4403 EAGLE ROCK BLVD,LOS ANGELES,90041-3212,722110,Full-service restaurants,14,11/16/2011,,"(34.1242, -118.2208)",90041
671,0003225469-0001-8,LEMONGRASS THAI & CHINESE RESTAURANT,,22205   SHERMAN WAY   PLAZA,canoga park,22205 SHERMAN 91303,22205   SHERMAN WAY   PLAZA,CANOGA PARK,91303-1048,722110,Full-service restaurants,3,07/01/2020,,"(34.2015, -118.6106)",91303
672,0003324282-0001-5,DREAM PINEDA INVESTMENTS,WIENERSCHNITZEL 830,9000 WOODMAN AVENUE,arleta,9000 Woodman 91331-6403,,,,722110,Full-service restaurants,6,07/01/2022,,"(34.2334, -118.4385)",91331
673,0000605342-0001-6,RICARDO GARDUNO/CANDELARIA DE LA CRUZ,TAQUERIA CAPULHUAC,6315 S BROADWAY,los angeles,6315 BROADWAY 90003-1431,1207 E 56TH STREET,LOS ANGELES,90011-4725,722110,Full-service restaurants,9,01/01/2002,,"(33.9819, -118.2783)",90003
674,0002776839-0001-1,KOBEE FACTORY INC,KOBEE FACTORY AND SYRIAN KITCHEN,14110 OXNARD STREET,van nuys,14110 OXNARD 91401-3606,,,,722110,Full-service restaurants,4,09/24/2014,,"(34.1793, -118.4405)",91401
675,0000841265-0007-5,TBS FOODS INC,JACK IN THE BOX # 287,4407 S CENTRAL AVENUE,los angeles,4407 CENTRAL 90011-3629,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,9,09/09/1991,,"(34.0037, -118.2564)",90011
676,0003012148-0001-2,GIL CHAE CHUNG,GOLTONG CHICKEN,361 S WESTERN AVENUE,los angeles,361 WESTERN 90020-3804,,,,722110,Full-service restaurants,10,09/01/2017,,"(34.0674, -118.3095)",90020
677,0003161417-0002-0,CARLOS H AVILES CRUZ,CARLOS TACOS MEXICO,7140 VAN NUYS BLVD,van nuys,7140 Van Nuys 91405-3005,,,,722110,Full-service restaurants,6,02/01/2021,,"(34.2005, -118.4485)",91405
678,0002953692-0001-1,CALIXTA VILLANUEVA,SABOR NICARAGUENSE RESTAURANT,1927 S WESTERN AVENUE   #1,los angeles,1927 WESTERN 90018-1557,,,,722110,Full-service restaurants,10,01/06/2017,,"(34.039, -118.3094)",90018
679,0002913628-0001-8,LE HUONG NGUYEN,LEE'S,16900   SHERMAN WAY,van nuys,16900 SHERMAN 91406-3624,18926   SHERMAN WAY   UNIT #103,RESEDA,91335-7702,722110,Full-service restaurants,6,03/01/2016,,"(34.2008, -118.5015)",91406
680,0003147331-0001-4,NATURAL CONNECTION INC.,KO RYU SAN PEDRO,362 W 6TH STREET,san pedro,362 6TH 90731,362 W 6TH STREET,SAN PEDRO,90731-3318,722110,Full-service restaurants,15,07/01/2019,,"(33.7389, -118.2847)",90731
681,0003323285-0001-1,SABYS CAFE LLC,,12900 Venice,los angeles,12900 VENICE 90066,,,,722110,Full-service restaurants,11,01/03/2022,,"(33.9995, 33.9995)",90066
682,0003133252-0001-2,GLENDA BEATRIZ DIAZ DE ORTEGA,NAOMI'S PUPUSERIA AND RESTAURANT,1682 E VERNON AVENUE,los angeles,1682 VERNON 90011-3833,,,,722110,Full-service restaurants,9,07/01/2019,,"(34.0037, -118.2438)",90011
683,0002715371-0001-3,OISHI LLC,,8215 DE SOTO AVENUE,canoga park,8215 DE SOTO 91304-4343,,,,722110,Full-service restaurants,3,06/01/2013,,"(34.2188, -118.5885)",91304
684,0003324333-0001-0,DTJV BBQ INC,DICKEY'S BBQ PIT,541 S Spring #129,los angeles,541 SPRING 90013,,,,722110,Full-service restaurants,14,08/01/2022,,"(34.0468, 34.0468)",90013
685,0000031488-0001-3,MARTIN AGUSTIN,FIDDLER'S RESTAURANT,12721 GLENOAKS BLVD,sylmar,12721 GLENOAKS 91342-4749,,,,722110,Full-service restaurants,7,05/10/2003,,"(34.3013, -118.4415)",91342
686,0003319560-0001-3,AD EMOTION USA LLC,TABERU,806 E 3rd #140,los angeles,806 3RD 90013,4640 Admiralty #500,Marina Del Rey,90292-6636,722110,Full-service restaurants,14,07/31/2022,,"(34.0458, 34.0458)",90013
687,0000392751-0004-1,CHOPRAS RESTAURANT INC,VENUS BANQUET HALL,20825 SHERMAN WAY,canoga park,20825 SHERMAN 91306-2706,7140 DE SOTO AVENUE,CANOGA PARK,91303-2208,722110,Full-service restaurants,3,01/01/2011,,"(34.2011, -118.5868)",91306
688,0002833801-0001-2,CEIBA RESTAURANT INC,CASA HONDURAS,9131 S VERMONT AVENUE,los angeles,9131 VERMONT 90044-4837,,,,722110,Full-service restaurants,0,12/26/2012,,"(33.9542, -118.2918)",90044
689,0003324469-0001-6,TONY SUSHI EYAKI INC,,5040 WILSHIRE BLVD,los angeles,5040 Wilshire 90036-4305,,,,722110,Full-service restaurants,5,07/22/2022,,"(34.062, -118.3396)",90036
690,0003264536-0001-0,ECHO PARK VEGAN TACO SHOP 26 INC,,1325   ECHO PARK AVENUE,los angeles,1325 ECHO PARK 90026,10250   CONSTELLATION BLVD   SUITE #100,LOS ANGELES,90067-6272,722110,Full-service restaurants,13,03/05/2021,,"(34.0776, -118.2571)",90026
691,0002923398-0003-1,MARUGAME UDON USA LLC,,700 S FLOWER STREET   UNIT #G200,los angeles,700 FLOWER 90017-4101,17300 RED HILL AVENUE SUITE #200,IRVINE,92614-5651,722110,Full-service restaurants,14,06/25/2019,,"(34.0476, -118.2589)",90017
692,0002925787-0001-4,TARZANA DELI INC,MORT'S DELI,18452   CLARK STREET,tarzana,18452 CLARK 91356-3504,,,,722110,Full-service restaurants,3,10/15/2012,,"(34.1694, -118.5351)",91356
693,0000109166-0001-7,BARNEY MESKIN/STEPHANIE LEFF/SYDNEY R ROTHMAN,HOUSE OF BILLIARDS,14662 VENTURA BLVD,sherman oaks,14662 VENTURA 91403-3618,,,,722110,Full-service restaurants,4,03/01/1978,,"(34.1516, -118.4529)",91403
694,0000684956-0003-7,GOLDEN VOICE LLC,FONDA,6126 HOLLYWOOD BLVD,los angeles,6126 HOLLYWOOD 90028-5304,425 W 11TH STREET   SUITE #300,LOS ANGELES,90015-3461,722110,Full-service restaurants,13,05/01/2012,,"(34.1016, -118.3231)",90028
695,0003147147-0001-9,IOANNIS MICHAS,ELENIS KITCHEN GREEK & AMERICAN FOOD,6407   VAN NUYS BLVD,van nuys,6407 VAN NUYS 91401-1437,,,,722110,Full-service restaurants,6,09/01/2019,,"(34.187, -118.4491)",91401
696,0003323216-0001-1,CAFE LOS FELIZ KITCHEN K23,,5660 Selmaraine #K23,culver city,5660 SELMARAINE 90230,2118 N Hillhurst,Los Angeles,90027-2004,722110,Full-service restaurants,0,08/01/2022,,"(33.9874, 33.9874)",90230
697,0000269786-0001-7,GUADALUPE F CHAVEZ,TAQUERIA DON LUPE,5300 S BROADWAY,los angeles,5300 BROADWAY 90037-3808,,,,722110,Full-service restaurants,9,01/09/2001,,"(33.9941, -118.2783)",90037
698,0002884535-0003-2,C&S MANAGMENT INC,SUPER GALLITO,1108 E PACIFIC COAST HIGHWAY,wilmington,1108 PACIFIC COAST 90744-2729,,,,722110,Full-service restaurants,15,07/19/2016,,"(33.7906, -118.2489)",90744
699,0002884535-0001-6,C&S MANAGMENT INC,SUPER GALLITO,3822 E OLYMPIC BLVD,los angeles,3822 OLYMPIC 90023-3113,,,,722110,Full-service restaurants,14,02/01/2016,,"(34.0186, -118.1925)",90023
700,0003147807-0001-1,GLENDA ZEPEDA,BURRITO KING,2109 W SUNSET BLVD,los angeles,2109 SUNSET 90026-3124,,,,722110,Full-service restaurants,13,09/05/2019,,"(34.0779, -118.2637)",90026
701,0003303507-0001-3,LOS KINGS SEA FOOD AND TACOS,,1842 W Washington #22,los angeles,1842 WASHINGTON 90007,1842 W Washington #22,Los Angeles,90007-5406,722110,Full-service restaurants,1,02/16/2022,,"(34.0399, 34.0399)",90007
702,0000016662-0001-9,BEACH PIZZA INC,BEACH PIZZA,8601 LINCOLN BLVD,westchester,8601 LINCOLN 90045-3554,,,,722110,Full-service restaurants,11,11/05/1992,,"(33.9597, -118.4193)",90045
703,0002173147-0001-4,MARTINEAU & CO INC,FRENCH MARKET CAFE,2321 ABBOT KINNEY BLVD,venice,2321 ABBOT KINNEY 90291-4875,,,,722110,Full-service restaurants,11,01/01/2005,,"(33.9879, -118.459)",90291
704,0002773707-0001-1,VT FOODS CORP,PHO CHINESE FOOD,445 E ANAHEIM STREET #A,wilmington,445 ANAHEIM 90744-4600,,,,722110,Full-service restaurants,15,09/09/2014,,"(33.7802, -118.2575)",90744
705,0000101866-0001-6,MARIA TERESA VILLALVAZO,TERESAS CATERING SERVICE,6804 S HOOVER STREET,los angeles,6804 HOOVER 90044-6247,,,,722110,Full-service restaurants,8,09/01/2003,,"(33.9781, -118.287)",90044
706,0003064872-0001-0,EIGHT & NINE COLLECTIVE,BURGERIM MELROSE 5001,10153 RIVERSIDE DRIVE UNIT #699,toluca lake,10153 RIVERSIDE 91602-2562,,,,722110,Full-service restaurants,2,07/16/2018,,"(34.1525, -118.3525)",91602
707,0003081738-0001-5,CHIFA FOODS CORPORATION,CHIFA RESTAURANT,4374   EAGLE ROCK BLVD,los angeles,4374 EAGLE ROCK 90041,1515   7TH STREET   UNIT #219,SANTA MONICA,90401-2605,722110,Full-service restaurants,1,05/01/2019,,"(34.1236, -118.2208)",90041
708,0000072116-0002-5,RENILKO CORPORATION,NANAY GLORIA'S FAST FOOD & RESTAURANT,8911 DE SOTO AVENUE,canoga park,8911 DE SOTO 91304-1966,,,,722110,Full-service restaurants,3,04/05/2010,,"(34.2324, -118.5885)",91304
709,0003297709-0001-0,"LA NUEVA PAZ RESTAURANT, INC.",,6807 Hazeltine,van nuys,6807 HAZELTINE 91405,6807 Hazeltine,Van Nuys,91405-3218,722110,Full-service restaurants,6,01/01/2022,,"(34.1943, 34.1943)",91405
710,0002499561-0001-0,THE PARLOR HW LLC,THE PARLOR,7250 MELROSE AVENUE,los angeles,7250 MELROSE 90046-7668,,,,722110,Full-service restaurants,5,04/29/2010,,"(34.0835, -118.3474)",90046
711,0000392298-0001-2,K & K VISION INC,GREAT KHANS,9301 TAMPA AVENUE #FC 1,northridge,9301 TAMPA 91324-2503,,,,722110,Full-service restaurants,12,11/16/2003,,"(34.2391, -118.5535)",91324
712,0000461004-0001-4,ROSCOE BK RESTAURANT INC,,15206 VENTURA BLVD SUITE #208,sherman oaks,15206 VENTURA 91403-3360,,,,722110,Full-service restaurants,4,05/01/1983,,"(34.1534, -118.4641)",91403
713,0002059701-0005-0,KAHALA HOLDINGS LLC,BAJA FRESH #30675,13424 MAXELLA AVENUE,marina del rey,13424 MAXELLA 90292-5620,9311 E VIA DE VENTURA,SCOTTSDALE,85258-3599,722110,Full-service restaurants,11,07/18/2022,,"(33.986, -118.44)",90292
714,0002699797-0001-5,HOMESTATE HOLLYWOOD LLC,HOMESTATE,4624 HOLLYWOOD BLVD,los angeles,4624 HOLLYWOOD 90027-5408,5619 N FIGUEROA STREET SUITE #211,LOS ANGELES,90042-4978,722110,Full-service restaurants,13,09/02/2013,,"(34.1, -118.2899)",90027
715,0000572520-0002-1,TAKAAKI KOYAMA,TAMON,328 E 1ST STREET,los angeles,328 1ST 90012-3902,139 N CITRUS AVENUE,COVINA,91723-2002,722110,Full-service restaurants,14,05/01/2007,,"(34.0498, -118.2401)",90012
716,0003148207-0001-0,BARBACOA DIAZ,,5225   PECK ROAD,el monte,5225 B PECK 91732,11381   FRANKMONT STREET,EL MONTE,91732-2121,722110,Full-service restaurants,0,07/22/2018,,"(34.0973, -118.0118)",91732
717,0002852633-0001-1,NRV EATERIES,BAJA FRESH LOS FELIZ,2921 LOS FELIZ BLVD,los angeles,2921 LOS FELIZ 90039-1539,13886 PLUMROSE PLACE,CHINO HILLS,91709-5935,722110,Full-service restaurants,13,09/02/2015,,"(34.1258, -118.2639)",90039
718,0002248492-0001-7,RAFAELA C FUENTES/ANDRES FUENTES/MILTON FUENTES,JARAGUA THE COPPER STILL,4493 BEVERLY BLVD,los angeles,4493 BEVERLY 90004-2386,POST OFFICE BOX #26387,LOS ANGELES,90026-0387,722110,Full-service restaurants,10,04/14/2007,,"(34.0762, -118.3067)",90004
719,0003265795-0002-9,TENDER GREENS OPCO LLC,TENDER GREENS,1109 GLENDON AVENUE,los angeles,1109 Glendon 90024-3501,1201 W 5TH STREET SUITE #T-400,LOS ANGELES,90017-2090,722110,Full-service restaurants,5,07/22/2021,,"(34.0606, -118.4444)",90024
720,0000492937-0001-9,MICHAEL JOSEPH INC,MCDONALDS RESTAURANT #6999,695 S WESTERN AVENUE,los angeles,695 WESTERN 90005-3026,3777 LONG BEACH BLVD #200,LONG BEACH,90807-3337,722110,Full-service restaurants,10,06/01/1984,,"(34.0598, -118.309)",90005
721,0003002677-0001-3,SIAM HOUSE THAI CUISINE INC,,9213 WYSTONE AVENUE,northridge,9213 WYSTONE 91324-2831,9213 WYSTONE AVENUE,NORTHRIDGE,91324-2831,722110,Full-service restaurants,12,08/01/2017,,"(34.2378, -118.5471)",91324
722,0000903574-0001-4,SENG LIV 168 INC,MAGGIE'S DONUT,2612 W 6TH STREET,los angeles,2612 6TH 90057-3110,,,,722110,Full-service restaurants,1,09/25/1998,,"(34.062, -118.2805)",90057
723,0003195174-0001-3,SHERMAN OAKS WB INC,,11100   MAGNOLIA BLVD,north hollywood,11100 MAGNOLIA 91601-3812,401 S GLENOAKS BLVD   SUITE #205,BURBANK,91502-2707,722110,Full-service restaurants,2,05/05/2020,,"(34.1646, -118.3725)",91601
724,0000083891-0006-5,SODEXHO OPERATIONS LLC,CEDARS SINAI MEDICAL CENTER,8700 BEVERLY BLVD,west hollywood,8700 BEVERLY 90048-1804,POST OFFICE BOX #352,BUFFALO,14240-0352,722110,Full-service restaurants,0,04/01/1998,,"(34.0768, -118.3803)",90048
725,0003111952-0003-9,PAPA BURGER LLC,FATBURGER #109,1611 N VERMONT AVENUE,los angeles,1611 Vermont 90027-5312,15332 ANTIOCH STREET #181,PACIFIC PALISADES,90272-3603,722110,Full-service restaurants,13,07/01/2021,,"(34.101, -118.2926)",90027
726,0003214817-0001-0,CHICAGO'S NOHO,,11046 MAGNOLIA BLVD,north hollywood,11046 Magnolia 91601-3810,,,,722110,Full-service restaurants,2,09/28/2020,,"(34.1646, -118.3721)",91601
727,0003261372-0001-8,MANUEL COTA,TACOS TIJUANA,31591   CASTAIC ROAD   BUILDING,castaic,31591 CASTAIC 91384,31591   CASTAIC ROAD   BUILDING,CASTAIC,91384-3933,722110,Full-service restaurants,0,07/15/2021,,"(34.4928, -118.6196)",91384
728,0002485385-0001-3,FARWELL FRIENDS LLC,MODERN EATS,2590 GLENDALE BLVD UNIT #D,los angeles,2590 GLENDALE 90039-3291,21201 VICTORY BLVD SUITE #225,CANOGA PARK,91303-4058,722110,Full-service restaurants,4,01/01/2010,,"(34.1051, -118.2597)",90039
729,0003148119-0001-4,ANA A PORTILLO,JAKE'S FOOD,4800 S BROADWAY,los angeles,4800 BROADWAY 90037-3247,4315   ELM AVENUE   #3,LONG BEACH,90807-2119,722110,Full-service restaurants,9,10/01/2019,,"(33.9989, -118.278)",90037
730,0002927160-0001-1,CEDAR RESTAURANT GROUP LLC,FREDDY BRAIDI,1999 N SYCAMORE AVENUE,los angeles,1999 SYCAMORE 90068-3782,,,,722110,Full-service restaurants,4,06/15/2016,,"(34.1057, -118.3421)",90068
731,0003145234-0001-5,"GBJ RESTAURANTS, INC.",,301 S WESTERN AVENUE   SUITE #201,los angeles,301 WESTERN 90020,301 S WESTERN AVENUE   SUITE #201,LOS ANGELES,90020-3817,722110,Full-service restaurants,10,09/01/2019,,"(34.0688, -118.3095)",90020
732,0003326023-0001-6,SUSHI NAKAZAWA LA LLC,NAKAZAWA,145 S Robertson,los angeles,145 ROBERTSON 90048,,,,722110,Full-service restaurants,5,07/28/2022,,"(34.0739, 34.0739)",90048
733,0002956263-0002-2,"CAVA MEZZE GRILL, LLC",CAVA MEZZE GRILL TOPANGA | CAVE MEZZE GRILL TOPANGA,6256   TOPANGA CANYON BLVD   SUITE #1280,woodland hills,6256 TOPANGA CANYON 91367-2285,POST OFFICE BOX #1067,DECATUR,30031-1067,722110,Full-service restaurants,3,10/14/2015,,"(34.1842, -118.6058)",91367
734,0002847353-0001-4,RODINI PARK LP,,11049 MAGNOLIA BLVD SUITE #400 A & B,north hollywood,11049 MAGNOLIA 91601-6807,2934  1/2 N BEVERLY GLEN CIRCLE SUITE #604,LOS ANGELES,90077-1724,722110,Full-service restaurants,2,07/01/2015,,"(34.1649, -118.3716)",91601
735,0003263563-0001-0,GO FOODS WESTLA INC,,2131   SAWTELLE BLVD,los angeles,2131 SAWTELLE 90025,2131   SAWTELLE BLVD,LOS ANGELES,90025-6249,722110,Full-service restaurants,11,08/09/2021,,"(34.039, -118.4422)",90025
736,0000449326-0001-1,CAROLINA OCHOA,CANDILEJAS RESTAURANT,7505 N SAN FERNANDO ROAD,burbank,7505 SAN FERNANDO 91505-1044,7505 N SAN FERNANDO ROAD,BURBANK,91505-1044,722110,Full-service restaurants,2,04/01/1997,,"(34.2075, -118.352)",91505
737,0000680695-0001-7,PQ BRENTWOOD INC,LE PAIN QUOTIDIEN,4327 33RD STREET,long island city,4327 33RD 11101-2316,4327 33RD STREET,LONG ISLAND CITY,11101-2316,722110,Full-service restaurants,0,03/27/2002,,"(40.7457, -73.9312)",11101
738,0002620092-0001-5,PQ ENCINO BAKERY INC,LE PAIN QUOTIDIEN,4327 33RD STREET,long island city,4327 33RD 11101-2316,4327 33RD STREET,LONG ISLAND CITY,11101-2316,722110,Full-service restaurants,0,07/13/2012,,"(40.7457, -73.9312)",11101
739,0003130917-0002-4,CHRISTINE CENTEOLT MARTINEZ,KAZUKO MEX,21414   NORDHOFF STREET,chatsworth,21414 NORDHOFF 91311-5892,,,,722110,Full-service restaurants,3,09/01/2019,,"(34.2353, -118.5979)",91311
740,0002979674-0001-0,PAYMAN YAZDANPANAH,KOLBEH CAFE,19745   VENTURA BLVD,woodland hills,19745 VENTURA 91364-2623,,,,722110,Full-service restaurants,3,04/05/2017,,"(34.1725, -118.5638)",91364
741,0002947652-0001-0,POKE RAINBOW,,15355   SHERMAN WAY   UNIT #R,van nuys,15355 SHERMAN 91406-4200,6334   WYNNE AVENUE,TARZANA,91335-7055,722110,Full-service restaurants,6,12/09/2016,,"(34.2018, -118.468)",91406
742,0002652287-0002-2,DE LA TORRE RESTAURANT GROUP LLC,GUISADOS,541 S SPRING STREET #101,los angeles,541 SPRING 90013-2305,2100 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-1823,722110,Full-service restaurants,14,07/09/2014,,"(34.0468, -118.2501)",90013
743,0002490730-0001-5,ARASHI SUSHI INC,,1111 S HOPE STREET SUITE #100,los angeles,1111 HOPE 90015-2118,149 S BARRINGTON AVENUE SUITE #782,LOS ANGELES,90049-3310,722110,Full-service restaurants,14,03/19/2010,,"(34.042, -118.2631)",90015
744,0000649093-0011-6,"MCDONALD'S RESTAURANTS OF CALIFORNIA, INC.",MCDONALDS 1090,5725 YORK BLVD,los angeles,5725 YORK 90042-2643,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,14,10/01/1985,,"(34.1188, -118.1933)",90042
745,0002281277-0001-1,JANE JEOUNG MI SHIN,PHO SAIGON NOODLE & GRILL,1753 S HILL STREET UNIT #2,los angeles,1753 HILL 90015-3528,1521 VIA LOS BONITOS,LA HABRA,90631-7654,722110,Full-service restaurants,14,09/15/2007,,"(34.0334, -118.2656)",90015
746,0002430124-0002-1,UR BUNS LLC,ROCK'N EGG CAFE,4616   EAGLE ROCK BLVD,los angeles,4616 EAGLE ROCK 90041-0000,POST OFFICE BOX #861287,LOS ANGELES,90086-1287,722110,Full-service restaurants,14,06/01/2017,,"(34.1277, -118.2172)",90041
747,0003260727-0001-8,LENNYS CASITA LLC,,8823 W PICO BLVD,los angeles,8823 PICO 90035,8823 W PICO BLVD,LOS ANGELES,90035-3301,722110,Full-service restaurants,5,06/25/2021,,"(34.0551, -118.3843)",90035
748,0003148823-0001-8,"ESZETT, LLC",ESZETT,3510 W SUNSET BLVD,los angeles,3510 SUNSET 90026-2106,1411 N AVENUE 50,LOS ANGELES,90042-1719,722110,Full-service restaurants,13,09/09/2019,,"(34.0887, -118.2769)",90026
749,0000278298-0001-8,RAYMOND ALCORTA,EL TEXANITO,4433 S ALAMEDA STREET #D 52,los angeles,4433 ALAMEDA 90058-2008,3800 E 52ND STREET,MAYWOOD,90270-2202,722110,Full-service restaurants,0,11/01/1995,,"(34.0035, -118.2391)",90058
750,0000001176-0001-7,KOREAN GARDENS RESTAURANT INC,YONGSUSAN RESTAURANT,950 S VERMONT AVENUE,los angeles,950 VERMONT 90006-1611,,,,722110,Full-service restaurants,10,07/15/1975,,"(34.054, -118.2916)",90006
751,0003265795-0004-5,TENDER GREENS OPCO LLC,TENDER GREENS,6290 W SUNSET BLVD,los angeles,6290 SUNSET 90028-8711,1201 W 5TH STREET SUITE #T-400,LOS ANGELES,90017-2090,722110,Full-service restaurants,0,07/22/2021,,,90028
752,0003144746-0001-1,WILDCAT ATTACKS LLC,LO LO,5140 W SUNSET BLVD,los angeles,5140 SUNSET 90027,6117   WINANS DRIVE,LOS ANGELES,90068-2248,722110,Full-service restaurants,13,09/15/2019,,"(34.0979, -118.302)",90027
753,0002963854-0001-9,SHABUSHI INC,,5185 W SUNSET BLVD,los angeles,5185 SUNSET 90027-5715,,,,722110,Full-service restaurants,13,02/10/2017,,"(34.0982, -118.3029)",90027
754,0000776417-0001-3,SAMUEL HERRERA,SAN MIGUEL RESTAURANT,103 S VERMONT AVENUE,los angeles,103 VERMONT 90004-5904,,,,722110,Full-service restaurants,13,02/07/1990,,"(34.0727, -118.2916)",90004
755,0003110286-0001-7,ZACATECAS YNJ LLC,,6300 S BROADWAY,los angeles,6300 BROADWAY 90003-1432,6300 S BROADWAY,LOS ANGELES,90003-1432,722110,Full-service restaurants,9,02/28/2019,,"(33.9822, -118.278)",90003
756,0000448915-0001-4,KHURSHID M/GAZALA K BHURAWALA,BASKIN ROBBINS,7620 TOPANGA CANYON BLVD,canoga park,7620 TOPANGA CANYON 91304-5534,,,,722110,Full-service restaurants,3,03/20/1997,,"(34.2087, -118.6059)",91304
757,0003228104-0001-1,MELLENNIAL FOODS LB INC,LLIEDERS LA BREA,129 N LA BREA AVENUE,los angeles,129 LA BREA 90036,8721 W PICO BLVD,LOS ANGELES,90035-2205,722110,Full-service restaurants,5,01/16/2020,,"(34.0744, -118.3444)",90036
758,0003145433-0001-7,"JIN'S FAMILY, INC.",,3055 W 7TH STREET   SUITE #A,los angeles,3055 7TH 90005,3055 W 7TH STREET   SUITE #A,LOS ANGELES,90005-1434,722110,Full-service restaurants,10,09/01/2019,,"(34.06, -118.2906)",90005
